framenr,riders,numbers,boxes
1,"['Christophe LAPORTE', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['14', '14', '97', '97', '61', '6']","[(630, 392, 679, 457), (705, 392, 761, 458), (1334, 449, 1434, 537), (1458, 436, 1557, 526), (1105, 398, 1172, 459), (1166, 401, 1237, 456)]"
2,"['Christophe LAPORTE', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['14', '14', '97', '97', '61', '6']","[(627, 396, 675, 463), (702, 398, 759, 464), (1341, 457, 1443, 550), (1465, 442, 1563, 538), (1098, 407, 1165, 466), (1160, 412, 1228, 467)]"
3,"['Christophe LAPORTE', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['14', '14', '97', '97', '61', '6']","[(627, 404, 676, 472), (702, 403, 758, 470), (1347, 463, 1453, 559), (1471, 451, 1578, 550), (1092, 416, 1157, 472), (1152, 421, 1219, 474)]"
4,"['Christophe LAPORTE', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['14', '14', '97', '97', '61', '6']","[(627, 408, 675, 472), (700, 404, 757, 472), (1354, 466, 1458, 557), (1478, 454, 1584, 549), (1083, 419, 1146, 478), (1140, 422, 1211, 479)]"
5,"['Christophe LAPORTE', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['14', '14', '97', '97', '61', '6']","[(626, 409, 674, 474), (700, 404, 757, 473), (1356, 472, 1464, 561), (1482, 457, 1586, 556), (1076, 418, 1142, 478), (1136, 423, 1205, 482)]"
6,"['Christophe LAPORTE', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['14', '14', '97', '97', '61', '6']","[(622, 414, 670, 478), (696, 410, 754, 474), (1358, 478, 1473, 572), (1484, 462, 1592, 564), (1069, 421, 1135, 482), (1130, 425, 1196, 486)]"
7,"['Michael GOGL', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['4', '14', '97', '97', '61', '6']","[(620, 416, 670, 484), (696, 416, 754, 481), (1361, 485, 1472, 578), (1482, 466, 1594, 573), (1067, 427, 1129, 486), (1122, 430, 1193, 494)]"
8,"['Michael GOGL', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['4', '14', '97', '97', '61', '6']","[(620, 420, 669, 490), (696, 419, 753, 483), (1361, 490, 1472, 582), (1482, 470, 1594, 575), (1059, 431, 1123, 495), (1118, 435, 1184, 497)]"
9,"['Michael GOGL', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['4', '14', '97', '97', '61', '6']","[(618, 421, 670, 491), (695, 421, 753, 485), (1360, 493, 1470, 581), (1481, 471, 1592, 576), (1053, 437, 1118, 498), (1112, 438, 1178, 499)]"
10,"['Michael GOGL', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['4', '14', '97', '97', '61', '6']","[(617, 421, 669, 489), (690, 417, 751, 484), (1358, 493, 1469, 580), (1479, 470, 1590, 573), (1050, 436, 1117, 497), (1110, 437, 1174, 497)]"
11,"['Michael GOGL', 'Christophe LAPORTE', 'Jonas RUTSCH', 'Jonas RUTSCH', 'Thomas PIDCOCK', 'Gianni VERMEERSCH']","['4', '14', '97', '97', '61', '6']","[(612, 417, 664, 482), (687, 414, 748, 482), (1358, 489, 1467, 581), (1480, 467, 1587, 571), (1044, 432, 1109, 493), (1100, 435, 1171, 492)]"
