framenr,riders,numbers,boxes
150,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '8']","[(1259, 610, 1376, 719), (1427, 602, 1534, 722), (719, 421, 763, 467), (759, 422, 802, 466), (1062, 500, 1130, 572), (1123, 500, 1158, 569)]"
151,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '8']","[(1273, 619, 1391, 726), (1433, 608, 1547, 724), (719, 427, 762, 473), (759, 427, 799, 471), (1069, 502, 1133, 572), (1123, 500, 1158, 569)]"
152,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '8']","[(1283, 616, 1401, 733), (1440, 613, 1551, 723), (720, 436, 763, 479), (761, 436, 801, 476), (1076, 505, 1141, 571), (1123, 500, 1158, 569)]"
153,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '8']","[(1287, 617, 1402, 737), (1449, 612, 1561, 724), (723, 438, 765, 483), (763, 438, 804, 479), (1084, 509, 1142, 573), (1139, 509, 1187, 573)]"
154,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '8']","[(1297, 620, 1410, 739), (1453, 614, 1562, 724), (723, 443, 767, 487), (765, 441, 806, 482), (1089, 511, 1148, 574), (1149, 513, 1202, 576)]"
155,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '86']","[(1302, 625, 1410, 740), (1456, 617, 1569, 725), (723, 445, 766, 488), (762, 443, 804, 482), (1094, 509, 1156, 576), (1152, 511, 1211, 577)]"
156,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '86']","[(1306, 630, 1416, 742), (1463, 621, 1572, 731), (723, 445, 767, 492), (764, 444, 805, 484), (1100, 514, 1163, 578), (1158, 514, 1222, 580)]"
157,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS']","['53', '5', '221', '221', '86', '86']","[(1310, 629, 1418, 744), (1472, 629, 1577, 737), (722, 446, 766, 492), (762, 444, 805, 485), (1108, 515, 1170, 582), (1164, 515, 1228, 580)]"
158,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43']","[(1318, 634, 1419, 746), (1477, 631, 1582, 743), (721, 447, 762, 489), (762, 447, 804, 486), (1110, 517, 1171, 585), (1169, 518, 1236, 584), (1013, 485, 1065, 548)]"
159,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43']","[(1325, 636, 1423, 746), (1480, 643, 1589, 755), (718, 446, 760, 492), (760, 447, 800, 488), (1113, 520, 1174, 586), (1171, 518, 1234, 583), (1016, 487, 1068, 548)]"
160,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43']","[(1331, 634, 1425, 744), (1494, 644, 1595, 757), (717, 447, 759, 494), (759, 449, 797, 489), (1112, 520, 1175, 588), (1170, 517, 1230, 584), (1017, 489, 1068, 548)]"
