framenr,riders,numbers,boxes
281,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '19', '662']","[(1118, 490, 1221, 582), (754, 489, 827, 571), (1224, 481, 1323, 567), (833, 488, 904, 568), (986, 322, 1057, 381), (687, 335, 735, 397), (1056, 347, 1128, 413)]"
282,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '19', '662']","[(1128, 488, 1231, 581), (757, 489, 830, 573), (1235, 484, 1329, 570), (838, 487, 910, 569), (974, 327, 1041, 389), (685, 335, 741, 395), (1054, 347, 1130, 413)]"
283,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '19', '662']","[(1143, 486, 1248, 578), (765, 489, 835, 573), (1250, 484, 1351, 575), (844, 488, 914, 571), (976, 332, 1057, 391), (687, 333, 752, 393), (1053, 347, 1128, 411)]"
284,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '19', '662']","[(1158, 484, 1264, 574), (768, 489, 838, 574), (1265, 483, 1367, 577), (846, 486, 918, 570), (972, 327, 1056, 386), (687, 332, 755, 398), (1055, 348, 1129, 410)]"
285,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '19', '662']","[(1170, 477, 1276, 564), (772, 489, 840, 574), (1281, 479, 1380, 575), (849, 484, 920, 570), (999, 323, 1062, 379), (687, 332, 752, 398), (1055, 346, 1127, 409)]"
286,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '19', '662', '11']","[(1183, 471, 1288, 561), (774, 489, 847, 574), (1289, 473, 1389, 570), (852, 484, 923, 570), (1000, 321, 1053, 380), (685, 331, 751, 393), (1056, 342, 1121, 406), (959, 321, 1015, 382)]"
287,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT']","['72', '55', '72', '55', '11', '191', '662', '11']","[(1190, 467, 1296, 555), (776, 483, 850, 571), (1304, 462, 1403, 559), (855, 479, 926, 567), (991, 316, 1044, 376), (690, 333, 757, 396), (1053, 336, 1122, 400), (957, 317, 1012, 378)]"
288,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Connor SWIFT']","['72', '55', '72', '55', '11', '191', '662', '11', '67']","[(1201, 460, 1309, 548), (778, 480, 852, 569), (1313, 457, 1413, 551), (857, 477, 928, 565), (993, 308, 1038, 365), (681, 322, 745, 387), (1051, 326, 1122, 392), (954, 312, 1004, 371), (733, 350, 803, 411)]"
289,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Connor SWIFT']","['72', '55', '72', '55', '11', '191', '662', '11', '67']","[(1213, 454, 1320, 543), (780, 476, 855, 566), (1321, 446, 1423, 541), (859, 472, 930, 561), (989, 302, 1038, 362), (678, 318, 742, 382), (1049, 319, 1123, 386), (946, 306, 1005, 370), (729, 338, 800, 396)]"
290,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Wout VAN AERT', 'Connor SWIFT']","['72', '55', '72', '55', '11', '191', '662', '11', '67']","[(1221, 441, 1329, 540), (783, 465, 857, 558), (1329, 437, 1432, 533), (864, 462, 935, 551), (981, 297, 1030, 354), (676, 309, 742, 375), (1048, 310, 1117, 376), (937, 299, 994, 362), (733, 320, 804, 382)]"
