framenr,riders,numbers,boxes
313,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Pierre GAUTHERAT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '66', '67', '36', '204']","[(1481, 335, 1583, 441), (925, 426, 999, 517), (1575, 327, 1682, 418), (1005, 422, 1080, 517), (729, 277, 802, 336), (1194, 293, 1285, 384), (1038, 256, 1100, 312), (830, 296, 903, 358), (1092, 253, 1140, 303), (1280, 285, 1368, 364)]"
314,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Pierre GAUTHERAT', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '36', '204', '1']","[(1480, 344, 1583, 443), (925, 432, 1002, 525), (1576, 334, 1680, 427), (1009, 429, 1084, 520), (722, 281, 793, 347), (1193, 299, 1276, 387), (1039, 264, 1098, 316), (831, 314, 907, 371), (1084, 264, 1133, 314), (1277, 293, 1362, 377), (784, 269, 851, 327)]"
315,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Pierre GAUTHERAT', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '36', '204', '1']","[(1480, 358, 1582, 449), (926, 445, 1002, 541), (1576, 344, 1676, 431), (1009, 439, 1082, 529), (719, 289, 789, 354), (1188, 310, 1270, 393), (1073, 273, 1131, 325), (835, 326, 904, 383), (1084, 264, 1133, 314), (1266, 301, 1355, 384), (784, 269, 851, 327)]"
316,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Pierre GAUTHERAT', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '36', '204', '1']","[(1479, 360, 1580, 453), (918, 455, 1000, 545), (1574, 352, 1674, 439), (1002, 449, 1081, 541), (714, 297, 783, 363), (1179, 314, 1265, 404), (1065, 278, 1125, 333), (835, 336, 902, 388), (1084, 264, 1133, 314), (1262, 312, 1346, 395), (775, 289, 838, 350)]"
317,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Matteo JORGENSON', 'Mathieu VAN DER POEL', 'Magnus SHEFFIELD']","['72', '55', '72', '55', '191', '204', '66', '67', '204', '1', '66']","[(1474, 368, 1579, 466), (917, 464, 996, 560), (1573, 362, 1673, 445), (996, 458, 1077, 550), (707, 311, 779, 375), (1170, 328, 1252, 414), (1065, 290, 1119, 341), (831, 339, 903, 396), (1250, 325, 1338, 410), (775, 289, 838, 350), (1017, 292, 1079, 347)]"
318,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Matteo JORGENSON', 'Mathieu VAN DER POEL', 'Magnus SHEFFIELD']","['72', '55', '72', '55', '191', '204', '66', '67', '204', '1', '66']","[(1468, 381, 1573, 479), (904, 478, 987, 572), (1562, 372, 1667, 460), (991, 468, 1071, 565), (696, 319, 764, 386), (1161, 336, 1245, 422), (1025, 298, 1100, 348), (833, 340, 902, 394), (1244, 336, 1325, 424), (775, 289, 838, 350), (1014, 299, 1068, 350)]"
319,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Matteo JORGENSON', 'Magnus SHEFFIELD']","['72', '55', '72', '55', '191', '204', '66', '67', '204', '66']","[(1463, 394, 1568, 489), (900, 488, 980, 586), (1560, 384, 1665, 470), (986, 482, 1061, 573), (690, 335, 758, 396), (1147, 351, 1238, 436), (1011, 310, 1064, 361), (813, 350, 882, 402), (1233, 352, 1317, 439), (1014, 299, 1068, 350)]"
320,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Matteo JORGENSON', 'Magnus SHEFFIELD']","['72', '55', '72', '55', '191', '204', '66', '67', '204', '66']","[(1455, 410, 1559, 504), (893, 501, 970, 592), (1551, 404, 1654, 485), (975, 495, 1049, 585), (681, 346, 745, 408), (1141, 360, 1228, 443), (1011, 310, 1064, 361), (804, 356, 874, 410), (1223, 363, 1305, 453), (1014, 299, 1068, 350)]"
321,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '66', '67', '204']","[(1444, 424, 1553, 517), (883, 514, 958, 610), (1547, 412, 1647, 492), (967, 507, 1042, 603), (673, 356, 738, 418), (1132, 377, 1215, 458), (1011, 310, 1064, 361), (795, 369, 866, 429), (1215, 378, 1298, 462)]"
322,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '67', '204']","[(1432, 435, 1541, 529), (872, 526, 952, 614), (1528, 424, 1632, 506), (960, 525, 1030, 616), (668, 364, 737, 424), (1122, 385, 1205, 464), (790, 386, 858, 444), (1203, 386, 1284, 472)]"
323,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '67', '204', '8']","[(1422, 441, 1535, 536), (866, 532, 946, 623), (1516, 427, 1620, 510), (951, 535, 1025, 629), (661, 369, 732, 430), (1119, 395, 1200, 472), (781, 404, 854, 464), (1197, 395, 1279, 479), (992, 356, 1041, 400)]"
324,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '67', '204', '8', '19']","[(1410, 443, 1523, 539), (857, 537, 937, 631), (1512, 436, 1612, 518), (947, 543, 1019, 636), (655, 372, 724, 437), (1110, 401, 1195, 482), (776, 423, 844, 484), (1192, 405, 1273, 486), (992, 356, 1041, 400), (718, 369, 775, 422)]"
325,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '67', '204', '8', '19']","[(1398, 458, 1507, 552), (852, 544, 934, 633), (1497, 449, 1598, 534), (940, 552, 1016, 644), (650, 383, 717, 443), (1104, 411, 1186, 491), (764, 439, 831, 500), (1182, 412, 1265, 494), (992, 356, 1041, 400), (713, 374, 775, 425)]"
326,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Connor SWIFT', 'Matteo JORGENSON', 'Neilson POWLESS']","['72', '55', '72', '55', '191', '204', '67', '204', '19', '96']","[(1385, 463, 1493, 558), (843, 551, 927, 640), (1489, 460, 1580, 541), (932, 554, 1008, 646), (645, 384, 714, 442), (1096, 418, 1179, 499), (754, 440, 824, 501), (1178, 416, 1258, 498), (713, 374, 775, 425), (972, 372, 1031, 421)]"
